"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","North Dakota",72.6568,43,71.4976,35,106.597,105,103.625,188,101.499,124,103.592,157,0.0327995,168
"2017","North Dakota St.",68.7881,215,66.6634,252,105.605,128,104.607,166,104.095,186,104.421,170,0.185766,167
"2017","North Florida",72.2742,52,69.7893,86,101.53,211,101.831,221,110.349,321,109.474,268,-7.64283,255
"2017","North Texas",71.0545,92,70.0834,73,95.8085,320,96.2997,314,106.323,232,110.818,294,-14.5181,320
"2017","Northeastern",67.2253,279,66.0198,274,105.803,123,107.021,125,105.896,223,106.391,208,0.629942,159
"2017","Northern Arizona",70.8371,103,69.1536,107,96.4953,311,95.1435,326,107.575,261,110.424,289,-15.2809,323
"2017","Northern Colorado",70.3063,127,68.4146,158,98.2691,280,96.6054,309,105.634,219,106.933,216,-10.3272,283
"2017","Northern Illinois",69.1186,199,66.7133,248,99.2182,257,98.9084,274,101.093,114,102.379,120,-3.47006,205
"2017","Northern Iowa",64.6261,337,63.4013,332,93.6522,332,97.6056,295,100.003,77,97.5974,57,0.00821182,169
"2017","Northern Kentucky",70.2299,132,67.9756,188,106.509,107,106.771,130,102.679,151,104.86,179,1.91162,138
"2017","Northwestern",66.5104,298,65.5192,292,106.829,99,111.348,59,98.7535,56,95.5325,32,15.8152,38
"2017","Northwestern St.",72.7809,41,71.2199,42,100.874,228,101.053,238,108.98,289,112.452,312,-11.399,293
"2017","Notre Dame",67.6563,265,66.9916,232,113.717,17,118.095,18,102.069,137,98.3538,61,19.7417,27
"2017","Oakland",74.2546,16,71.8484,28,105.829,122,104.944,158,96.3115,30,99.0423,67,5.90157,103
"2017","Ohio",72.1946,54,70.3056,67,106.524,106,105.587,148,97.6647,43,99.8618,78,5.72496,105
"2017","Ohio St.",68.6564,224,67.9101,192,105.555,132,111.146,60,101.249,118,100.943,99,10.2031,73
"2017","Oklahoma",71.1058,89,69.9131,82,100.323,238,107.415,118,102.653,150,95.9315,39,11.4831,65
"2017","Oklahoma St.",72.3445,51,70.3118,66,117.672,5,125.965,1,108.601,282,103.49,154,22.4748,22
"2017","Old Dominion",63.7357,344,61.0258,348,100.519,234,100.634,247,95.0578,17,97.1942,51,3.43944,120
"2017","Oral Roberts",71.2512,84,68.9895,113,102.695,180,104.415,169,112.167,331,110.716,293,-6.30117,236
"2017","Oregon",68.6751,223,67.0005,231,113.785,16,118.241,17,96.2918,29,93.2176,17,25.0232,10
"2017","Oregon St.",67.0323,285,64.4559,313,92.6391,339,96.9946,305,108.596,281,105.719,194,-8.72388,264
"2017","Pacific",67.809,261,66.4196,260,96.8203,303,99.5048,269,106.587,238,106.484,210,-6.97944,246
"2017","Penn",67.3393,275,66.6211,255,101.699,205,102.583,209,100.809,105,102.781,132,-0.198385,171
"2017","Penn St.",71.431,78,70.3776,63,98.3464,278,104.513,168,100.041,78,97.2164,52,7.2964,87
"2017","Pepperdine",69.5437,174,68.4717,153,98.6252,271,102.004,217,115.523,345,114.263,327,-12.259,303
"2017","Pittsburgh",67.2263,278,65.338,298,106.469,108,112.417,48,109.747,307,103.689,159,8.7279,79
"2017","Portland",66.841,290,65.7246,286,95.8831,318,98.6878,279,108.631,283,108.927,254,-10.2389,280
"2017","Portland St.",74.2481,17,72.5322,19,106.947,97,104.367,171,107.542,259,110.868,297,-6.50171,240
"2017","Prairie View A&M",68.3672,238,67.5084,211,99.0349,264,98.0379,289,107.306,252,111.678,304,-13.6398,313
"2017","Presbyterian",65.2815,324,64.1153,322,89.215,347,88.9259,349,116.446,347,118.13,346,-29.2046,350
"2017","Princeton",64.5004,338,63.1417,337,109.224,58,109.054,88,95.1885,19,96.4409,45,12.6131,58
"2017","Providence",67.5635,267,66.1385,271,103.657,170,108.498,100,99.0374,61,96.0714,41,12.4268,60
