Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
651,AB,32,6,38.59,20.94,32.69,3.01,27.45,19.02,38.28,16.03,14
5,BB,31,5,31.7,15.85,27.01,1.84,23.76,19.17,13.56,2.22,6
11,BB,23,3,28.19,15.13,21.83,2.01,26.34,21.37,38.09,19.2,4
13,BB,24,3,35.66,19.86,30.16,2.74,31.38,25.44,48.44,14.93,4
15,BB,29,4,30.52,19.85,23.25,2.55,28.54,26.24,18.32,5.51,6
18,BB,28,5,34.22,18.08,30.26,3.69,28.78,22.66,16.65,0.5,8
27,BB,24,3,35.37,18.89,31.32,3.99,42.48,31.56,42.31,9.14,4
35,BB,24,3,40.12,41.75,35.47,2.94,31.18,27,60.64,15.2,6
38,BB,26,4,35.72,21.89,28.51,4.21,30.35,24.7,22.51,9.15,8
45,BB,29,4,36.55,20.8,29.38,4.02,34.36,29.19,17.83,2.72,10
59,BB,25,3,36.52,20.33,37.36,3.4,30.5,26.47,35.75,9.05,10
65,BB,25,3,35.05,17.85,31.35,2.93,41.72,30.66,54.72,17.4,0
73,BB,24,3,32.69,17.36,25.81,2.52,27.57,25.32,32.59,5.04,6
89,BB,28,4,33.93,17.91,29.02,3.12,34.09,26.73,30.93,4.33,9
95,BB,31,4,26.29,16.36,27.17,3.99,19.21,14.94,15.66,3.5,4
397,BB,28,4,30.45,19.31,15.76,3.85,22.54,20.59,17.72,6.86,10
108,BB,41,8,51.58,27.21,37.04,3.77,25.46,19.88,13.49,0.5,12
120,BB,26,3,23.38,16.36,15.73,2.28,27.67,21.6,20.72,11.25,4
129,BB,36,6,37.73,22.18,,3.55,41.89,21.34,21.27,0.5,10
134,BB,30,4,29.27,19.18,22.36,3.16,25.23,28.77,33.22,6.24,8
135,BB,31,4,30.42,19.23,21.59,2.04,26.03,22.98,18.38,0.5,0
142,BB,38,5,25.55,14.69,20.89,2.51,20.82,23.08,20.22,0.5,10
144,BB,28,4,34.61,18.95,29.69,3.04,38.09,29.86,32.61,3.35,10
153,BB,25,3,31.73,16.54,34.61,3.62,43.41,34.36,40.83,12.51,4
171,BB,27,4,31.53,16.93,25.23,3.91,19.3,19.65,37.31,2.32,4
175,BB,32,5,18.53,12.07,14.54,3.57,28.33,22.38,18.99,0.5,4
185,BB,24,3,29.63,15.78,26.07,2.52,30.48,26.96,41.6,9.45,4
190,BB,25,3,42.25,24.15,32.8,3.3,37.47,28.35,42.91,12.25,4
193,BB,28,4,32,17.22,27.59,3.21,28.09,17.26,13.38,0.5,6
203,BB,37,7,46.85,26.41,30.38,4.27,39.25,28.96,21.09,5.23,16
213,BB,36,6,48.41,26.23,35.5,3.22,29.79,21.29,22.18,0.5,10
215,BB,38,7,48.85,28.1,34.28,3.58,27.74,22.12,14.48,0.5,10
221,BB,34,5,47.4,29.02,,4.09,55.16,25.32,14.67,5.27,8
222,BB,34,6,46.98,27.62,31.31,4.22,34.37,21.33,18.74,2.61,8
223,BB,26,3,33.3,17.63,29.58,3.27,38.11,30.61,51.09,9.45,4
